Código,Unidade,Sub unidade,Tipo,Nome,Descritivo
1240.10.361,Clã,Secção,Cozinha,,
1240.10.362,Clã,Secção,Cozinha,,
1240.10.363,Clã,Secção,Cozinha,,
1240.10.364,Clã,Secção,Cozinha,,
1240.10.365,Clã,Secção,Cozinha,,
1240.10.366,Clã,Secção,Cozinha,,
1240.10.367,Clã,Secção,Cozinha,,
1240.10.368,Clã,Secção,Cozinha,,
1240.10.369,Clã,Secção,Cozinha,,
1240.10.370,Clã,Secção,Cozinha,,
1240.10.371,Clã,Secção,Cozinha,,
1240.10.372,Clã,Secção,Cozinha,,
1240.10.373,Clã,Secção,Cozinha,,
1240.10.374,Clã,Secção,Cozinha,,
1240.10.375,Clã,Secção,Cozinha,,
1240.10.376,Clã,Secção,Cozinha,,
1240.10.377,Clã,Secção,Cozinha,,
1240.10.378,Clã,Secção,Cozinha,,
1240.10.379,Clã,Secção,Cozinha,,
1240.10.380,Clã,Secção,Cozinha,,
1240.10.381,Clã,Secção,Cozinha,,
1240.10.382,Clã,Secção,Cozinha,,
1240.10.383,Clã,Secção,Cozinha,,
1240.10.384,Clã,Secção,Cozinha,,
1240.10.385,Clã,Secção,Cozinha,,
1240.10.386,Clã,Secção,Cozinha,,
1240.10.387,Clã,Secção,Cozinha,,
1240.10.388,Clã,Secção,Cozinha,,
1240.10.389,Clã,Secção,Cozinha,,
1240.10.390,Clã,Secção,Cozinha,,
1240.10.391,Clã,Secção,Cozinha,,
1240.10.392,Clã,Secção,Cozinha,,
1240.10.393,Clã,Secção,Cozinha,,
1240.10.394,Clã,Secção,Cozinha,,
1240.10.395,Clã,Secção,Cozinha,,
1240.10.396,Clã,Secção,Cozinha,,
1240.10.397,Clã,Secção,Cozinha,,
1240.10.398,Clã,Secção,Cozinha,,
1240.10.399,Clã,Secção,Cozinha,,
1240.10.400,Clã,Secção,Ferramentas,Caixa de arrumos,
1240.10.401,Clã,Secção,Ferramentas,Maço,
1240.10.402,Clã,Secção,Ferramentas,Azagaia Pequena,
1240.10.403,Clã,Secção,Ferramentas,Azagaia Grande,
1240.10.404,Clã,Secção,Ferramentas,Machado,
1240.10.405,Clã,Secção,Ferramentas,Tesoura de poda,
1240.10.406,Clã,Secção,Ferramentas,Vassoura pequena,
1240.10.407,Clã,Secção,Ferramentas,,
1240.10.408,Clã,Secção,Ferramentas,,
1240.10.409,Clã,Secção,Ferramentas,,
1240.10.410,Clã,Secção,Ferramentas,,
1240.10.411,Clã,Secção,Ferramentas,,
1240.10.412,Clã,Secção,Ferramentas,,
1240.10.413,Clã,Secção,Ferramentas,,
1240.10.414,Clã,Secção,Ferramentas,,
1240.10.415,Clã,Secção,Ferramentas,,
1240.10.416,Clã,Secção,Ferramentas,,
1240.10.417,Clã,Secção,Ferramentas,,
1240.10.418,Clã,Secção,Ferramentas,,
1240.10.419,Clã,Secção,Ferramentas,,
1240.10.420,Clã,Secção,Ferramentas,,
1240.10.421,Clã,Secção,Ferramentas,,
1240.10.422,Clã,Secção,Ferramentas,,
1240.10.423,Clã,Secção,Ferramentas,,
1240.10.424,Clã,Secção,Ferramentas,,
1240.10.425,Clã,Secção,Ferramentas,,
1240.10.426,Clã,Secção,Ferramentas,,
1240.10.427,Clã,Secção,Ferramentas,,
1240.10.428,Clã,Secção,Ferramentas,,
1240.10.429,Clã,Secção,Ferramentas,,
1240.10.430,Clã,Secção,Ferramentas,,
1240.10.431,Clã,Secção,Ferramentas,,
1240.10.432,Clã,Secção,Ferramentas,,
1240.10.433,Clã,Secção,Ferramentas,,
1240.10.434,Clã,Secção,Ferramentas,,
1240.10.435,Clã,Secção,Ferramentas,,
1240.10.436,Clã,Secção,Ferramentas,,
1240.10.437,Clã,Secção,Ferramentas,,
1240.10.438,Clã,Secção,Ferramentas,,
1240.10.439,Clã,Secção,Ferramentas,,
1240.10.440,Clã,Secção,Ferramentas,,
1240.10.441,Clã,Secção,Ferramentas,,
1240.10.442,Clã,Secção,Ferramentas,,
1240.10.443,Clã,Secção,Ferramentas,,
1240.10.444,Clã,Secção,Ferramentas,,
1240.10.445,Clã,Secção,Ferramentas,,
1240.10.446,Clã,Secção,Ferramentas,,
1240.10.447,Clã,Secção,Ferramentas,,
1240.10.448,Clã,Secção,Ferramentas,,
1240.10.449,Clã,Secção,Ferramentas,,
1240.10.450,Clã,Secção,Ferramentas,,
1240.10.451,Clã,Secção,Ferramentas,,
1240.10.452,Clã,Secção,Ferramentas,,
1240.10.453,Clã,Secção,Ferramentas,,
1240.10.454,Clã,Secção,Ferramentas,,
1240.10.455,Clã,Secção,Ferramentas,,
1240.10.456,Clã,Secção,Ferramentas,,
1240.10.457,Clã,Secção,Ferramentas,,
1240.10.458,Clã,Secção,Ferramentas,,
1240.10.459,Clã,Secção,Ferramentas,,
1240.10.460,Clã,Secção,Ferramentas,,
1240.10.461,Clã,Secção,Ferramentas,,
1240.10.462,Clã,Secção,Ferramentas,,
1240.10.463,Clã,Secção,Ferramentas,,
1240.10.464,Clã,Secção,Ferramentas,,
1240.10.465,Clã,Secção,Ferramentas,,
1240.10.466,Clã,Secção,Ferramentas,,
1240.10.467,Clã,Secção,Ferramentas,,
1240.10.468,Clã,Secção,Ferramentas,,
1240.10.469,Clã,Secção,Ferramentas,,
1240.10.470,Clã,Secção,Ferramentas,,
1240.10.471,Clã,Secção,Ferramentas,,
1240.10.472,Clã,Secção,Ferramentas,,
1240.10.473,Clã,Secção,Ferramentas,,
1240.10.474,Clã,Secção,Ferramentas,,
1240.10.475,Clã,Secção,Ferramentas,,
1240.10.476,Clã,Secção,Ferramentas,,
1240.10.477,Clã,Secção,Ferramentas,,
1240.10.478,Clã,Secção,Ferramentas,,
1240.10.479,Clã,Secção,Ferramentas,,
1240.10.480,Clã,Secção,Ferramentas,,
1240.10.481,Clã,Secção,Ferramentas,,
1240.10.482,Clã,Secção,Ferramentas,,
1240.10.483,Clã,Secção,Ferramentas,,
1240.10.484,Clã,Secção,Ferramentas,,
1240.10.485,Clã,Secção,Ferramentas,,
1240.10.486,Clã,Secção,Ferramentas,,
1240.10.487,Clã,Secção,Ferramentas,,
1240.10.488,Clã,Secção,Ferramentas,,
1240.10.489,Clã,Secção,Ferramentas,,
1240.10.490,Clã,Secção,Ferramentas,,
1240.10.491,Clã,Secção,Ferramentas,,
1240.10.492,Clã,Secção,Ferramentas,,
1240.10.493,Clã,Secção,Ferramentas,,
1240.10.494,Clã,Secção,Ferramentas,,
1240.10.495,Clã,Secção,Ferramentas,,
1240.10.496,Clã,Secção,Ferramentas,,
1240.10.497,Clã,Secção,Ferramentas,,
1240.10.498,Clã,Secção,Ferramentas,,
1240.10.499,Clã,Secção,Ferramentas,,
1240.10.500,Clã,Secção,Energizados,Fogão quadrado,
1240.10.501,Clã,Secção,Energizados,Fogão quadrado,
1240.10.502,Clã,Secção,Energizados,Fogão articulado,
1240.10.503,Clã,Secção,Energizados,Candeeiro a gás,Candeeiro velho
