Código,Unidade,Sub unidade,Tipo,Nome,Descritivo,
1240.20.284,Expedição,Secção,Abrigo,,,
1240.20.285,Expedição,Secção,Abrigo,,,
1240.20.286,Expedição,Secção,Abrigo,,,
1240.20.287,Expedição,Secção,Abrigo,,,
1240.20.288,Expedição,Secção,Abrigo,,,
1240.20.289,Expedição,Secção,Abrigo,,,
1240.20.290,Expedição,Secção,Abrigo,,,
1240.20.291,Expedição,Secção,Abrigo,,,
1240.20.292,Expedição,Secção,Abrigo,,,
1240.20.293,Expedição,Secção,Abrigo,,,
1240.20.294,Expedição,Secção,Abrigo,,,
1240.20.295,Expedição,Secção,Abrigo,,,
1240.20.296,Expedição,Secção,Abrigo,,,
1240.20.297,Expedição,Secção,Abrigo,,,
1240.20.298,Expedição,Secção,Abrigo,,,
1240.20.299,Expedição,Secção,Abrigo,,,
1240.20.300,Expedição,Secção,Cozinha,Tacho grande 36,com tampa,
1240.20.301,Expedição,Secção,Cozinha,Panela grande 30,sem tampa,
1240.20.302,Expedição,Secção,Cozinha,Panela média 26,com tampa,
1240.20.303,Expedição,Secção,Cozinha,Tacho médio 28,sem tampa,
1240.20.304,Expedição,Secção,Cozinha,Panela média 24,com tampa,
1240.20.305,Expedição,Secção,Cozinha,Chaleira grande,,
1240.20.306,Expedição,Secção,Cozinha,Passvite,,
1240.20.307,Expedição,Secção,Cozinha,Frasco plástico Sal,,
1240.20.308,Expedição,Secção,Cozinha,Frasco plástico Louro,,
1240.20.309,Expedição,Secção,Cozinha,Frasco plástico,,
1240.20.310,Expedição,Secção,Cozinha,Frasco plástico,,
1240.20.311,Expedição,Secção,Cozinha,Escumadeira preta,,
1240.20.312,Expedição,Secção,Cozinha,,,
1240.20.313,Expedição,Secção,Cozinha,,,
1240.20.314,Expedição,Secção,Cozinha,,,
1240.20.315,Expedição,Secção,Cozinha,,,
1240.20.316,Expedição,Secção,Cozinha,,,
1240.20.317,Expedição,Secção,Cozinha,,,
1240.20.318,Expedição,Secção,Cozinha,,,
1240.20.319,Expedição,Secção,Cozinha,,,
1240.20.320,Expedição,Secção,Cozinha,,,
1240.20.321,Expedição,Secção,Cozinha,,,
1240.20.322,Expedição,Secção,Cozinha,,,
1240.20.323,Expedição,Secção,Cozinha,,,
1240.20.324,Expedição,Secção,Cozinha,,,
1240.20.325,Expedição,Secção,Cozinha,,,
1240.20.326,Expedição,Secção,Cozinha,,,
1240.20.327,Expedição,Secção,Cozinha,,,
1240.20.328,Expedição,Secção,Cozinha,,,
1240.20.329,Expedição,Secção,Cozinha,,,
1240.20.330,Expedição,Secção,Cozinha,,,
1240.20.331,Expedição,Secção,Cozinha,,,
1240.20.332,Expedição,Secção,Cozinha,,,
